"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"315","10/13/1971","Louisiana","HURRICANE EDITH","Major Disaster Declaration"
"314","09/28/1971","Oklahoma","Heavy Rains, Floods","Major Disaster Declaration"
"313","09/18/1971","Texas","Heavy Rains, High Winds, Flooding","Major Disaster Declaration"
"312","09/18/1971","Pennsylvania","FLOODS","Major Disaster Declaration"
"311","09/13/1971","New York","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"310","09/04/1971","New Jersey","Heavy Rains, Flooding","Major Disaster Declaration"
"309","08/17/1971","Maryland","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"308","07/07/1971","Nebraska","FLOODS","Major Disaster Declaration"
"2005","06/18/1971","Alaska","Delta Junction Fire","Fire Management Assistance Declaration"
"2004","06/11/1971","Alaska","Hog River Fire","Fire Management Assistance Declaration"
"307","05/18/1971","Federated States of Micronesia","TYPHOON AMY","Major Disaster Declaration"
"306","05/18/1971","Tennessee","TORNADO","Major Disaster Declaration"
"305","05/10/1971","Kentucky","TORNADO","Major Disaster Declaration"
"2003","04/08/1971","Oklahoma","Broken Bow Fire","Fire Management Assistance Declaration"
"304","03/15/1971","Florida","Freeze","Major Disaster Declaration"
"303","02/23/1971","Nebraska","FLOODS","Major Disaster Declaration"
"302","02/22/1971","Mississippi","STORMS, TORNADOES","Major Disaster Declaration"
"301","02/13/1971","Oregon","STORMS, FLOODING","Major Disaster Declaration"
"300","02/09/1971","Washington","Heavy Rains, Melting Snow, Flooding","Major Disaster Declaration"
"299","02/09/1971","California","San Fernando Earthquake","Major Disaster Declaration"
