"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"756","12/03/1985","Florida","HURRICANE KATE","Major Disaster Declaration"
"754","11/09/1985","Pennsylvania","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"755","11/09/1985","Virginia","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"753","11/07/1985","West Virginia","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"752","11/01/1985","Louisiana","HURRICANE JUAN","Major Disaster Declaration"
"751","10/28/1985","Massachusetts","HURRICANE GLORIA","Major Disaster Declaration"
"750","10/18/1985","New York","HURRICANE GLORIA","Major Disaster Declaration"
"748","10/15/1985","Rhode Island","HURRICANE GLORIA","Major Disaster Declaration"
"749","10/15/1985","New Jersey","HURRICANE GLORIA","Major Disaster Declaration"
"747","10/11/1985","Connecticut","HURRICANE GLORIA","Major Disaster Declaration"
"746","10/10/1985","Puerto Rico","SEVERE STORMS, FLOODING, MUDSLIDES","Major Disaster Declaration"
"745","10/08/1985","Pennsylvania","HURRICANE GLORIA","Major Disaster Declaration"
"744","09/18/1985","Michigan","SEVERE STORMS AND FLOODING","Major Disaster Declaration"
"743","09/12/1985","Florida","HURRICANE ELENA","Major Disaster Declaration"
"742","09/07/1985","Alabama","HURRICANE ELENA","Major Disaster Declaration"
"741","09/04/1985","Mississippi","HURRICANE ELENA","Major Disaster Declaration"
"2058","08/30/1985","Washington","Tonasket/Baker Fire","Fire Management Assistance Declaration"
"740","08/07/1985","Wyoming","Severe Storms, Hail, Flooding","Major Disaster Declaration"
"739","07/18/1985","California","Grass, Wildlands,  Forest Fires","Major Disaster Declaration"
"2057","07/15/1985","South Dakota","Flint Hill Fire","Fire Management Assistance Declaration"
"2056","07/15/1985","South Dakota","Seven Sisters Fire","Fire Management Assistance Declaration"
"2055","07/11/1985","California","Hidden Valley Lake Fire","Fire Management Assistance Declaration"
"2054","07/11/1985","California","Lexington Fire","Fire Management Assistance Declaration"
"737","06/03/1985","Pennsylvania","Severe Storms, High Winds, Tornadoes","Major Disaster Declaration"
"738","06/03/1985","Ohio","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"736","05/31/1985","Puerto Rico","STORMS, MUD/LAND SLIDES, FLOODING","Major Disaster Declaration"
"2053","05/20/1985","Florida","Tomoka Fire","Fire Management Assistance Declaration"
"2051","05/17/1985","Florida","Aster Fire","Fire Management Assistance Declaration"
"2050","05/17/1985","Florida","Perry Fire","Fire Management Assistance Declaration"
"2052","05/17/1985","Florida","Bonell Fire","Fire Management Assistance Declaration"
"735","03/29/1985","Illinois","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"734","03/22/1985","New York","Snow Melt, Ice Jams","Major Disaster Declaration"
"733","03/20/1985","New York","FLOODING","Major Disaster Declaration"
"732","03/18/1985","Florida","Severe Freeze","Major Disaster Declaration"
"731","01/18/1985","New Mexico","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"730","01/15/1985","Arizona","Heavy Rain, High Winds","Major Disaster Declaration"
