"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"1194","12/24/1997","Commonwealth of the Northern Mariana Islands","Typhoon","Major Disaster Declaration"
"1193","12/17/1997","Guam","Typhoon Paka","Major Disaster Declaration"
"1192","12/08/1997","Commonwealth of the Northern Mariana Islands","Typhooon","Major Disaster Declaration"
"1191","11/20/1997","Iowa","Severe Snow Storms","Major Disaster Declaration"
"1190","11/01/1997","Nebraska","Severe Snow Storms","Major Disaster Declaration"
"1189","09/23/1997","New Jersey","Flooding","Major Disaster Declaration"
"1188","09/17/1997","Illinois","Flooding","Major Disaster Declaration"
"2194","08/27/1997","Washington","Olympia Command Fire","Fire Management Assistance Declaration"
"1187","08/25/1997","Minnesota","Flooding","Major Disaster Declaration"
"2193","08/14/1997","Washington","Tum-Tum Fire","Fire Management Assistance Declaration"
"1186","08/01/1997","Colorado","Flooding","Major Disaster Declaration"
"1184","07/25/1997","Vermont","Excessive Rainfall, High Winds, Flooding","Major Disaster Declaration"
"1185","07/25/1997","Alabama","Severe Storms/High Winds/Flooding","Major Disaster Declaration"
"1183","07/25/1997","Montana","Severe Storms, Ice Jams, Snowmelt, Flooding, Extreme Soil Saturation","Major Disaster Declaration"
"1182","07/21/1997","Washington","Snowmelt/Flooding","Major Disaster Declaration"
"2192","07/21/1997","Washington","Benton City Fire","Fire Management Assistance Declaration"
"1181","07/11/1997","Michigan","Severe Storms/Tornadoes","Major Disaster Declaration"
"1179","07/07/1997","Texas","Severe Storms/Flooding","Major Disaster Declaration"
"1180","07/07/1997","Wisconsin","Severe Storms/Flooding","Major Disaster Declaration"
"1178","06/13/1997","Mississippi","Flooding","Major Disaster Declaration"
"1177","06/13/1997","Idaho","Flooding","Major Disaster Declaration"
"1176","04/14/1997","Arkansas","Severe Storms/Flooding","Major Disaster Declaration"
"1175","04/08/1997","Minnesota","Severe Storms/Flooding","Major Disaster Declaration"
"1173","04/07/1997","South Dakota","Severe Storms/Flooding","Major Disaster Declaration"
"1174","04/07/1997","North Dakota","Severe Storms/Flooding","Major Disaster Declaration"
"1171","04/02/1997","Tennessee","Severe Storms/Tornadoes","Major Disaster Declaration"
"1172","04/02/1997","Washington","Severe Storms/Flooding/Landslides/Mudslides","Major Disaster Declaration"
"1170","03/21/1997","Illinois","Severe Storms and Flooding","Major Disaster Declaration"
"1169","03/18/1997","Louisiana","Severe Ice Storms","Major Disaster Declaration"
"1166","03/11/1997","Federated States of Micronesia","Typhoon Fern","Major Disaster Declaration"
"1168","03/07/1997","West Virginia","Severe Storms/Flooding","Major Disaster Declaration"
"1167","03/07/1997","Tennessee","Severe Storms/Flooding","Major Disaster Declaration"
"1165","03/06/1997","Indiana","Severe Storms/Flooding","Major Disaster Declaration"
"1163","03/04/1997","Kentucky","Severe Storms/Flooding","Major Disaster Declaration"
"1164","03/04/1997","Ohio","Severe Storms/Flooding","Major Disaster Declaration"
"1162","03/02/1997","Arkansas","Severe Storms/Tornadoes","Major Disaster Declaration"
"1161","02/28/1997","South Dakota","Severe Winter Storms","Major Disaster Declaration"
"1160","01/23/1997","Oregon","Severe Winter Storms/Flooding","Major Disaster Declaration"
"1159","01/17/1997","Washington","Severe Winter Storms/Flooding","Major Disaster Declaration"
"1158","01/16/1997","Minnesota","Severe Winter Storms/Blizzards","Major Disaster Declaration"
"1157","01/12/1997","North Dakota","Severe Winter Storms/Blizzards","Major Disaster Declaration"
"1156","01/10/1997","South Dakota","Severe Winter Storms/Blizzards","Major Disaster Declaration"
"1151","01/07/1997","Minnesota","Severe Storms/Heavy Snow","Major Disaster Declaration"
"1152","01/07/1997","Washington","Ice and Snow Storms","Major Disaster Declaration"
"1154","01/04/1997","Idaho","Severe Storms/Flooding","Major Disaster Declaration"
"1155","01/04/1997","California","Severe Storms/Flooding","Major Disaster Declaration"
"1153","01/03/1997","Nevada","Severe Storms/Flooding","Major Disaster Declaration"
