"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"807","12/31/1987","Arkansas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"805","12/17/1987","Puerto Rico","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"806","12/17/1987","Arkansas","TORNADOES","Major Disaster Declaration"
"804","11/30/1987","Louisiana","TORNADOES, FLOODING","Major Disaster Declaration"
"803","11/25/1987","Federated States of Micronesia","TYPHOON NINA","Major Disaster Declaration"
"802","11/20/1987","Texas","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"801","11/10/1987","New York","SEVERE WINTER STORM","Major Disaster Declaration"
"800","11/03/1987","Commonwealth of the Northern Mariana Islands","TYPHOON LYNN","Major Disaster Declaration"
"2066","10/10/1987","Oregon","Shady Lane Fire","Fire Management Assistance Declaration"
"799","10/07/1987","California","Earthquake, Aftershocks","Major Disaster Declaration"
"3092","09/04/1987","Wyoming","Methane Gas Seepage","Emergency Declaration"
"2065","09/02/1987","California","Stanislaus Complex","Fire Management Assistance Declaration"
"2063","09/02/1987","Oregon","Savage Creek Fire","Fire Management Assistance Declaration"
"2064","09/02/1987","Oregon","Sykes Creek Fire","Fire Management Assistance Declaration"
"2062","09/02/1987","Oregon","Frozen Creek Fire","Fire Management Assistance Declaration"
"798","08/21/1987","Illinois","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"797","08/06/1987","Minnesota","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"2061","07/22/1987","South Dakota","Battle Mountain Fire","Fire Management Assistance Declaration"
"795","07/17/1987","Iowa","STORMS, FLASH FLOODING","Major Disaster Declaration"
"796","07/17/1987","Ohio","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"2060","07/16/1987","Oregon","Bland Mountain Fire","Fire Management Assistance Declaration"
"794","07/09/1987","Oklahoma","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"793","05/26/1987","Texas","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"792","05/15/1987","New York","FLOODING","Major Disaster Declaration"
"791","04/27/1987","Republic of the Marshall Islands","Fire","Major Disaster Declaration"
"790","04/18/1987","Massachusetts","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"789","04/16/1987","New Hampshire","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"788","04/09/1987","Maine","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"787","03/05/1987","Mississippi","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"786","02/02/1987","Federated States of Micronesia","TYPHOON ORCHID","Major Disaster Declaration"
"785","01/24/1987","American Samoa","HURRICANE TUSI","Major Disaster Declaration"
