"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"2595","12/29/2005","Oklahoma","Eastern Oklahoma County Fire Complex","Fire Management Assistance Declaration"
"2593","12/28/2005","Texas","Kennedale Fire","Fire Management Assistance Declaration"
"2594","12/28/2005","Oklahoma","Achille Fire Complex","Fire Management Assistance Declaration"
"2592","12/28/2005","Oklahoma","Hughes County Fire Complex","Fire Management Assistance Declaration"
"2591","12/28/2005","Texas","Callahan County Fire","Fire Management Assistance Declaration"
"1620","12/20/2005","South Dakota","Severe Winter Storm","Major Disaster Declaration"
"1619","12/16/2005","Connecticut","Severe Storms and Flooding","Major Disaster Declaration"
"1618","12/09/2005","Alaska","Severe Fall Storm, Tidal Surges, and Flooding","Major Disaster Declaration"
"2590","12/02/2005","Oklahoma","Texanna Road Fire","Fire Management Assistance Declaration"
"1617","12/01/2005","Kentucky","Severe Storms and Tornadoes","Major Disaster Declaration"
"2588","11/30/2005","Oklahoma","Velma Complex Fire","Fire Management Assistance Declaration"
"2589","11/30/2005","Oklahoma","Antioch Fire","Fire Management Assistance Declaration"
"2587","11/29/2005","Oklahoma","Flat Rock Complex Fire","Fire Management Assistance Declaration"
"1616","11/21/2005","North Dakota","Severe Winter Storm and Record and/or Near Record Snow","Major Disaster Declaration"
"2586","11/18/2005","California","School Fire","Fire Management Assistance Declaration"
"1615","11/15/2005","Kansas","Severe Storms and Flooding","Major Disaster Declaration"
"1614","11/10/2005","Massachusetts","Severe Storms and Flooding","Major Disaster Declaration"
"1613","11/10/2005","Puerto Rico","Severe Storms, Flooding, Landslides, and Mudslides","Major Disaster Declaration"
"1611","11/08/2005","Commonwealth of the Northern Mariana Islands","Typhoon Nabi","Major Disaster Declaration"
"1612","11/08/2005","Indiana","Tornado and Severe Storms","Major Disaster Declaration"
"1610","10/26/2005","New Hampshire","Severe Storms and Flooding","Major Disaster Declaration"
"1609","10/24/2005","Florida","Hurricane Wilma","Major Disaster Declaration"
"3264","10/19/2005","Massachusetts","Severe Storms and Flooding","Emergency Declaration"
"1608","10/07/2005","North Carolina","Hurricane Ophelia","Major Disaster Declaration"
"2585","10/06/2005","California","Border 50 Fire","Fire Management Assistance Declaration"
"2584","10/06/2005","California","Woodhouse Fire","Fire Management Assistance Declaration"
"3262","09/30/2005","New York","Hurricane Katrina Evacuation","Emergency Declaration"
"3263","09/30/2005","Delaware","Hurricane Katrina Evacuation","Emergency Declaration"
"2583","09/28/2005","California","Topanga Fire","Fire Management Assistance Declaration"
"1606","09/24/2005","Texas","Hurricane Rita","Major Disaster Declaration"
"1607","09/24/2005","Louisiana","Hurricane Rita","Major Disaster Declaration"
"3261","09/21/2005","Texas","Hurricane Rita","Emergency Declaration"
"3260","09/21/2005","Louisiana","Hurricane Rita","Emergency Declaration"
"3259","09/20/2005","Florida","Tropical Storm Rita","Emergency Declaration"
"3258","09/19/2005","New Hampshire","Hurricane Katrina Evacuation","Emergency Declaration"
"3256","09/19/2005","Maine","Hurricane Katrina Evacuation","Emergency Declaration"
"3255","09/19/2005","Rhode Island","Hurricane Katrina Evacuation","Emergency Declaration"
"3257","09/19/2005","New Jersey","Hurricane Katrina Evacuation","Emergency Declaration"
"3254","09/14/2005","North Carolina","Hurricane Ophelia","Emergency Declaration"
"3245","09/13/2005","Nebraska","Hurricane Katrina Evacuation","Emergency Declaration"
"3249","09/13/2005","Wisconsin","Hurricane Katrina Evacuation","Emergency Declaration"
"3242","09/13/2005","Minnesota","Hurricane Katrina Evacuation","Emergency Declaration"
"3250","09/13/2005","Ohio","Hurricane Katrina Evacuation","Emergency Declaration"
"3244","09/13/2005","Idaho","Hurricane Katrina Evacuation","Emergency Declaration"
"3246","09/13/2005","Connecticut","Hurricane Katrina Evacuation","Emergency Declaration"
"3252","09/13/2005","Massachusetts","Hurricane Katrina Evacuation","Emergency Declaration"
"3251","09/13/2005","Maryland","Hurricane Katrina Evacuation","Emergency Declaration"
"3243","09/13/2005","Nevada","Hurricane Katrina Evacuation","Emergency Declaration"
"3253","09/13/2005","Montana","Hurricane Katrina Evacuation","Emergency Declaration"
"3247","09/13/2005","North Dakota","Hurricane Katrina Evacuation","Emergency Declaration"
"3248","09/13/2005","California","Hurricane Katrina Evacuation","Emergency Declaration"
"3241","09/12/2005","Arizona","Hurricane Katrina Evacuation","Emergency Declaration"
"3240","09/12/2005","Virginia","Hurricane Katrina Evacuation","Emergency Declaration"
"3238","09/10/2005","Indiana","Hurricane Katrina Evacuation","Emergency Declaration"
"3237","09/10/2005","Alabama","Hurricane Katrina Evacuation","Emergency Declaration"
"3239","09/10/2005","Iowa","Hurricane Katrina Evacuation","Emergency Declaration"
"3236","09/10/2005","Kansas","Hurricane Katrina Evacuation","Emergency Declaration"
"3233","09/10/2005","South Carolina","Hurricane Katrina Evacuation","Emergency Declaration"
"3235","09/10/2005","Pennsylvania","Hurricane Katrina Evacuation","Emergency Declaration"
"3234","09/10/2005","South Dakota","Hurricane Katrina Evacuation","Emergency Declaration"
"3232","09/10/2005","Missouri","Hurricane Katrina Evacuation","Emergency Declaration"
"3231","09/10/2005","Kentucky","Hurricane Katrina Evacuation","Emergency Declaration"
"3230","09/07/2005","Illinois","Hurricane Katrina Evacuation","Emergency Declaration"
"3229","09/07/2005","New Mexico","Hurricane Katrina Evacuation","Emergency Declaration"
"3225","09/07/2005","Michigan","Hurricane Katrina Evacuation","Emergency Declaration"
"3226","09/07/2005","District of Columbia (DC)","Hurricane Katrina Evacuation","Emergency Declaration"
"3228","09/07/2005","Oregon","Hurricane Katrina Evacuation","Emergency Declaration"
"3227","09/07/2005","Washington","Hurricane Katrina Evacuation","Emergency Declaration"
"3220","09/05/2005","Florida","Hurricane Katrina Evacuation","Emergency Declaration"
"3222","09/05/2005","North Carolina","Hurricane Katrina Evacuation","Emergency Declaration"
"3224","09/05/2005","Colorado","Hurricane Katrina Evacuation","Emergency Declaration"
"3217","09/05/2005","Tennessee","Hurricane Katrina Evacuation","Emergency Declaration"
"3219","09/05/2005","Oklahoma","Hurricane Katrina Evacuation","Emergency Declaration"
"3218","09/05/2005","Georgia","Hurricane Katrina Evacuation","Emergency Declaration"
"2582","09/05/2005","California","Sundevil Fire","Fire Management Assistance Declaration"
"3223","09/05/2005","Utah","Hurricane Katrina Evacuation","Emergency Declaration"
"3221","09/05/2005","West Virginia","Hurricane Katrina Evacuation","Emergency Declaration"
"3216","09/02/2005","Texas","Hurricane Katrina","Emergency Declaration"
"3215","09/02/2005","Arkansas","Hurricane Katrina","Emergency Declaration"
"2581","08/29/2005","Nevada","Chance Fire","Fire Management Assistance Declaration"
"1605","08/29/2005","Alabama","Hurricane Katrina","Major Disaster Declaration"
"1604","08/29/2005","Mississippi","Hurricane Katrina","Major Disaster Declaration"
"1603","08/29/2005","Louisiana","Hurricane Katrina","Major Disaster Declaration"
"1602","08/28/2005","Florida","Hurricane Katrina","Major Disaster Declaration"
