"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"612","12/31/1979","Washington","STORMS, HIGH TIDES, MUDSLIDES, FLOODING","Major Disaster Declaration"
"611","12/01/1979","Federated States of Micronesia","Seawave Action, Flooding","Major Disaster Declaration"
"610","11/09/1979","American Samoa","FLOODING, MUDSLIDES, LANDSLIDES","Major Disaster Declaration"
"609","10/19/1979","California","Earthquake","Major Disaster Declaration"
"608","10/04/1979","Connecticut","TORNADO, SEVERE STORMS","Major Disaster Declaration"
"606","09/29/1979","Virginia","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"605","09/29/1979","North Carolina","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"607","09/29/1979","Florida","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"604","09/25/1979","Louisiana","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"603","09/25/1979","Texas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"602","09/16/1979","Virgin Islands","Hurricane David, Tropical Storm Frederick","Major Disaster Declaration"
"601","09/14/1979","Maryland","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"599","09/13/1979","Mississippi","HURRICANE FREDERIC","Major Disaster Declaration"
"598","09/13/1979","Alabama","HURRICANE FREDERIC","Major Disaster Declaration"
"600","09/13/1979","Florida","HURRICANE FREDERIC","Major Disaster Declaration"
"597","09/02/1979","Puerto Rico","HURRICANE DAVID","Major Disaster Declaration"
"2038","08/08/1979","Idaho","20-mile Fire","Fire Management Assistance Declaration"
"2037","08/06/1979","Montana","West Fork/Barker's Creek Fire","Fire Management Assistance Declaration"
"2036","08/03/1979","Oregon","Pine Grove Fire","Fire Management Assistance Declaration"
"596","07/31/1979","Indiana","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"595","07/28/1979","Texas","STORMS, FLASH FLOODS","Major Disaster Declaration"
"594","07/27/1979","California","Heavy Rains, Flooding, Mud Flows","Major Disaster Declaration"
"2035","07/26/1979","Oregon","Sisters Fire","Fire Management Assistance Declaration"
"2034","07/25/1979","Oregon","Bridge Creek Fire","Fire Management Assistance Declaration"
"2033","07/23/1979","Washington","Salmon Creek Fire","Fire Management Assistance Declaration"
"593","07/20/1979","Virginia","STORMS, FLASH FLOODS","Major Disaster Declaration"
"591","07/19/1979","Wyoming","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"592","07/19/1979","Kentucky","SEVERE STORMS,FLASH FLOODS","Major Disaster Declaration"
"590","07/01/1979","Iowa","High Winds, Tornadoes","Major Disaster Declaration"
"589","06/23/1979","New Mexico","Severe Storms, Snowmelt, Flooding","Major Disaster Declaration"
"588","06/15/1979","Kansas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"587","06/14/1979","Texas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"2032","06/11/1979","Nevada","Pea Vine Peak Fire","Fire Management Assistance Declaration"
"586","05/15/1979","Florida","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"585","05/07/1979","Tennessee","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"584","05/02/1979","Louisiana","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"582","04/30/1979","Minnesota","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"583","04/30/1979","Illinois","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"580","04/26/1979","Texas","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"581","04/26/1979","North Dakota","Storms, Snowmelt, Flooding","Major Disaster Declaration"
"579","04/21/1979","Missouri","Tornadoes, Torrential Rain, Flooding","Major Disaster Declaration"
"578","04/18/1979","Alabama","Storms, Wind, Flooding","Major Disaster Declaration"
"577","04/16/1979","Mississippi","STORMS, TORNADOES, FLOODS","Major Disaster Declaration"
"3077","04/14/1979","Mississippi","Storms, Tornadoes, Floods","Emergency Declaration"
"576","04/13/1979","Oklahoma","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"574","04/11/1979","Arkansas","TORNADO","Major Disaster Declaration"
"575","04/11/1979","Texas","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"3076","04/06/1979","Iowa","Severe Storms and Tornadoes","Emergency Declaration"
"3075","03/24/1979","Florida","Severe Storms & Flooding","Emergency Declaration"
"3074","03/17/1979","Alabama","Flooding","Emergency Declaration"
"3073","03/15/1979","New Hampshire","Flooding","Emergency Declaration"
"3072","03/13/1979","Georgia","Rain, Flooding, Mudslide","Emergency Declaration"
"3071","03/12/1979","Missouri","Ice Jam and Flooding","Emergency Declaration"
"3070","03/12/1979","Washington","Flooding","Emergency Declaration"
"573","03/07/1979","Hawaii","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"572","02/12/1979","Federated States of Micronesia","TYPHOON ALICE","Major Disaster Declaration"
"571","01/29/1979","New Mexico","FLOODING","Major Disaster Declaration"
"3069","01/19/1979","Wisconsin","Blizzards and Snowstorms","Emergency Declaration"
"3068","01/16/1979","Illinois","Blizzards and Snowstorms","Emergency Declaration"
