"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"1354","12/29/2000","Arkansas","Severe Winter Storm","Major Disaster Declaration"
"1353","12/29/2000","North Dakota","Winter Storm","Major Disaster Declaration"
"3159","12/28/2000","Arkansas","Severe Winter Storm","Emergency Declaration"
"3158","12/28/2000","Oklahoma","Snow Storm","Emergency Declaration"
"1352","12/18/2000","Alabama","Tornadoes","Major Disaster Declaration"
"1351","12/13/2000","Wyoming","Winter Storm","Major Disaster Declaration"
"1350","12/06/2000","Montana","Winter Storm","Major Disaster Declaration"
"3157","12/04/2000","New York","Snow Storm","Emergency Declaration"
"1349","11/27/2000","Oklahoma","Severe Storms And Flooding","Major Disaster Declaration"
"1348","11/09/2000","Hawaii","Severe Storms And Flooding","Major Disaster Declaration"
"2350","11/04/2000","Kentucky","Eastern District Fire Complex","Fire Management Assistance Declaration"
"2349","11/04/2000","Kentucky","Southeastern District Fire Complex","Fire Management Assistance Declaration"
"2348","11/03/2000","Tennessee","Greenville Fire Complex","Fire Management Assistance Declaration"
"2347","11/03/2000","Tennessee","Cookeville Fire Complex","Fire Management Assistance Declaration"
"2346","11/02/2000","Tennessee","Knoxville Complex Fire","Fire Management Assistance Declaration"
"3156","11/01/2000","New Jersey","Virus Threat","Emergency Declaration"
"1347","10/27/2000","Arizona","Severe Storms And Flooding","Major Disaster Declaration"
"2345","10/20/2000","Minnesota","Carlos Edge Fire Complex","Fire Management Assistance Declaration"
"1346","10/17/2000","Michigan","Severe Storms And Flooding","Major Disaster Declaration"
"3155","10/11/2000","New York","Virus Threat","Emergency Declaration"
"1345","10/04/2000","Florida","Heavy Rains And Flooding","Major Disaster Declaration"
"1344","10/03/2000","Florida","Tropical Storm","Major Disaster Declaration"
"2344","10/03/2000","Texas","Quail Run Fire","Fire Management Assistance Declaration"
"1343","09/26/2000","Ohio","Tornado And Severe Storms","Major Disaster Declaration"
"2342","09/21/2000","Oklahoma","Bristow Fire Complex","Fire Management Assistance Declaration"
"2343","09/21/2000","Oklahoma","Oakcliff Fire Complex","Fire Management Assistance Declaration"
"2341","09/19/2000","Oklahoma","Arbuckle Fire Complex","Fire Management Assistance Declaration"
"2340","09/18/2000","Texas","Pine Cove Fire","Fire Management Assistance Declaration"
"2339","09/17/2000","Alabama","County Line Fire","Fire Management Assistance Declaration"
"2338","09/16/2000","Colorado","Walker Ranch Fire","Fire Management Assistance Declaration"
"1342","09/14/2000","California","Earthquake","Major Disaster Declaration"
"2337","09/11/2000","Louisiana","Western Louisiana Fire Complex","Fire Management Assistance Declaration"
"2336","09/10/2000","Texas","Milam Street Fire","Fire Management Assistance Declaration"
"2335","09/08/2000","Texas","Deep Creek Fire","Fire Management Assistance Declaration"
"2333","09/07/2000","Texas","Mesquite Creek Fire","Fire Management Assistance Declaration"
"2334","09/07/2000","Texas","Frost Fire","Fire Management Assistance Declaration"
"2331","09/05/2000","Texas","Peach Creek Fire","Fire Management Assistance Declaration"
"2332","09/05/2000","Texas","Warren Chapel Fire","Fire Management Assistance Declaration"
"2330","09/05/2000","Texas","Sheppard Reese Fire","Fire Management Assistance Declaration"
"2329","09/04/2000","Texas","Stanley Mainline Fire","Fire Management Assistance Declaration"
"2328","09/03/2000","Texas","Moore Branch Fire","Fire Management Assistance Declaration"
"1341","09/01/2000","Idaho","Wildfires","Major Disaster Declaration"
"2327","08/31/2000","Texas","Ranger Hill Fire","Fire Management Assistance Declaration"
"1340","08/30/2000","Montana","Wildfires","Major Disaster Declaration"
"2326","08/28/2000","Montana","Willie Fire","Fire Management Assistance Declaration"
"2325","08/26/2000","Texas","Live Oak Loop Fire","Fire Management Assistance Declaration"
"2324","08/25/2000","South Dakota","Jasper Fire","Fire Management Assistance Declaration"
"2323","08/25/2000","Washington","Mule Dry Fire","Fire Management Assistance Declaration"
"2322","08/23/2000","Texas","Chicken Fire","Fire Management Assistance Declaration"
"1339","08/21/2000","Ohio","Severe Storms And Flooding","Major Disaster Declaration"
"1337","08/17/2000","New Jersey","Severe Storms, Flooding And Mudslides","Major Disaster Declaration"
"1338","08/17/2000","District of Columbia (DC)","Severe Storms","Major Disaster Declaration"
"2321","08/16/2000","Montana","South Central Zone 4 Fire Complex","Fire Management Assistance Declaration"
"2320","08/14/2000","Montana","Northwest Zone 1 Fire Complex","Fire Management Assistance Declaration"
