"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"409","12/10/1973","Oklahoma","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"408","11/07/1973","Alaska","Heavy Rains, Flooding","Major Disaster Declaration"
"407","11/01/1973","Missouri","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"406","10/20/1973","Nebraska","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"405","10/16/1973","Massachusetts","Fire (City of Chelsea)","Major Disaster Declaration"
"404","10/13/1973","Oklahoma","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"403","09/28/1973","Kansas","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"2014","09/07/1973","Oregon","Hillsview Fire","Fire Management Assistance Declaration"
"2013","09/04/1973","Oregon","Doe Creek Fire","Fire Management Assistance Declaration"
"2012","08/23/1973","Montana","Pleasant Valley Fire #125","Fire Management Assistance Declaration"
"2011","08/20/1973","Oregon","Orindale Draw Fire","Fire Management Assistance Declaration"
"2009","08/18/1973","Montana","Goat Creek Fire","Fire Management Assistance Declaration"
"2010","08/18/1973","Oregon","Rocky Creek Fire","Fire Management Assistance Declaration"
"2008","08/17/1973","Oregon","Perry Canyon Fire","Fire Management Assistance Declaration"
"2007","08/16/1973","Montana","Prewitt Creek Fire","Fire Management Assistance Declaration"
"402","08/07/1973","New Jersey","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"401","07/20/1973","New York","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"400","07/17/1973","Pennsylvania","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"398","07/11/1973","Texas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"399","07/11/1973","New Hampshire","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"397","07/06/1973","Vermont","SEVERE STORMS, FLOODING, LANDSLIDES","Major Disaster Declaration"
"396","07/06/1973","Colorado","FLOODING, LANDSLIDES","Major Disaster Declaration"
"395","06/28/1973","Tennessee","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"394","06/25/1973","North Carolina","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"393","06/25/1973","Texas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"392","06/13/1973","Oklahoma","SEVERE STORMS, FLOODING, TORNADOES","Major Disaster Declaration"
"391","06/11/1973","Georgia","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"390","06/04/1973","Ohio","MUDSLIDES","Major Disaster Declaration"
"389","05/29/1973","Arkansas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"388","05/29/1973","Alabama","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"387","05/26/1973","Florida","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"2006","05/24/1973","Alaska","Chugach Fire","Fire Management Assistance Declaration"
"384","05/23/1973","Maine","Heavy Rains, Flooding","Major Disaster Declaration"
"385","05/23/1973","Colorado","Heavy Rains, Snowmelt, Flooding","Major Disaster Declaration"
"386","05/23/1973","Iowa","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"383","05/16/1973","Hawaii","Earthquake","Major Disaster Declaration"
"381","05/11/1973","Kentucky","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"382","05/11/1973","Tennessee","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"380","05/11/1973","New Mexico","SEVERE STORMS, SNOW MELT, FLOODING","Major Disaster Declaration"
"379","05/08/1973","Colorado","Dam Failure","Major Disaster Declaration"
"378","05/02/1973","Kansas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"375","04/27/1973","Arkansas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"374","04/27/1973","Louisiana","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"377","04/27/1973","Ohio","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"376","04/27/1973","Wisconsin","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"373","04/26/1973","Illinois","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"372","04/19/1973","Missouri","Heavy Rains, Tornadoes, Flooding","Major Disaster Declaration"
"371","04/12/1973","Michigan","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"370","04/04/1973","Georgia","TORNADOES, FLOODING","Major Disaster Declaration"
"368","03/27/1973","Mississippi","Heavy Rains, Tornadoes, Flooding","Major Disaster Declaration"
"369","03/27/1973","Alabama","TORNADOES, FLOODING","Major Disaster Declaration"
"366","03/21/1973","Tennessee","Heavy Rains, Flooding","Major Disaster Declaration"
"367","03/21/1973","New York","High Winds, Wave Action, Flooding","Major Disaster Declaration"
"365","03/12/1973","Texas","High Winds, Tornadoes, Flooding","Major Disaster Declaration"
"364","02/08/1973","California","SEVERE STORMS, HIGH TIDES, FLOODING","Major Disaster Declaration"
