"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"222","09/27/1966","Texas","Heavy Rains, Flooding","Major Disaster Declaration"
"221","08/31/1966","Nebraska","Heavy Rains, Flooding","Major Disaster Declaration"
"220","07/09/1966","North Dakota","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"219","06/10/1966","Kansas","TORNADOES, SEVERE STORMS","Major Disaster Declaration"
"218","05/12/1966","Texas","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"217","04/30/1966","Arizona","FLOODING","Major Disaster Declaration"
"216","03/23/1966","North Dakota","FLOODING","Major Disaster Declaration"
"215","03/22/1966","Minnesota","FLOODING","Major Disaster Declaration"
"214","03/14/1966","Georgia","FLOODING","Major Disaster Declaration"
"213","02/10/1966","American Samoa","Typhoon, High Tides","Major Disaster Declaration"
"212","01/22/1966","California","SEVERE STORMS, FLOODING","Major Disaster Declaration"
