"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"4097","12/19/2012","Massachusetts","Hurricane Sandy","Major Disaster Declaration"
"4096","12/05/2012","District of Columbia (DC)","Hurricane Sandy","Major Disaster Declaration"
"4095","11/28/2012","New Hampshire","Hurricane Sandy","Major Disaster Declaration"
"4093","11/27/2012","West Virginia","Hurricane Sandy","Major Disaster Declaration"
"4094","11/27/2012","Alaska","Severe Storm, Straight-line winds, Flooding, and Landslides","Major Disaster Declaration"
"4092","11/26/2012","Virginia","Hurricane Sandy","Major Disaster Declaration"
"4091","11/20/2012","Maryland","Hurricane Sandy","Major Disaster Declaration"
"4090","11/16/2012","Delaware","Hurricane Sandy","Major Disaster Declaration"
"4088","11/03/2012","Utah","Severe Storm and Flooding","Major Disaster Declaration"
"4089","11/03/2012","Rhode Island","Hurricane Sandy","Major Disaster Declaration"
"3360","10/30/2012","New Hampshire","Hurricane Sandy","Emergency Declaration"
"4085","10/30/2012","New York","Hurricane Sandy","Major Disaster Declaration"
"4086","10/30/2012","New Jersey","Hurricane Sandy ","Major Disaster Declaration"
"4087","10/30/2012","Connecticut","Hurricane Sandy","Major Disaster Declaration"
"3358","10/29/2012","West Virginia","Hurricane Sandy","Emergency Declaration"
"3357","10/29/2012","Delaware","Hurricane Sandy","Emergency Declaration"
"3355","10/29/2012","Rhode Island","Hurricane Sandy","Emergency Declaration"
"3356","10/29/2012","Pennsylvania","Hurricane Sandy","Emergency Declaration"
"3359","10/29/2012","Virginia","Hurricane Sandy","Emergency Declaration"
"3352","10/28/2012","District of Columbia (DC)","Hurricane Sandy","Emergency Declaration"
"3349","10/28/2012","Maryland","Hurricane Sandy","Emergency Declaration"
"3350","10/28/2012","Massachusetts","Hurricane Sandy","Emergency Declaration"
"3351","10/28/2012","New York","Hurricane Sandy","Emergency Declaration"
"3354","10/28/2012","New Jersey","Hurricane Sandy","Emergency Declaration"
"3353","10/28/2012","Connecticut","Hurricane Sandy","Emergency Declaration"
"5022","10/23/2012","Colorado","Wetmore Fire","Fire Management Assistance Declaration"
"4084","10/18/2012","Florida","Hurricane Isaac","Major Disaster Declaration"
"4083","09/25/2012","Washington","Severe Storm, Straight-line Winds, and Flooding","Major Disaster Declaration"
"5021","09/24/2012","California","Shockey Fire","Fire Management Assistance Declaration"
"4082","09/21/2012","Alabama","Hurricane Isaac","Major Disaster Declaration"
"5020","09/20/2012","Washington","Table Mountain Fire","Fire Management Assistance Declaration"
"5019","09/18/2012","Idaho","Karney Fire","Fire Management Assistance Declaration"
"5018","09/13/2012","Washington","Peavine Fire","Fire Management Assistance Declaration"
"5017","09/12/2012","Washington","Poison Fire","Fire Management Assistance Declaration"
"5016","09/11/2012","Montana","Sawtooth Fire","Fire Management Assistance Declaration"
"5015","09/10/2012","Washington","Byrd Canyon Fire ","Fire Management Assistance Declaration"
"5014","09/09/2012","Wyoming","Sheep Herder Hill Fire","Fire Management Assistance Declaration"
"5013","09/09/2012","Washington","Barker Canyon Fire","Fire Management Assistance Declaration"
"5012","09/09/2012","Washington","1st Canyon Fire","Fire Management Assistance Declaration"
"5011","09/06/2012","Washington","Highway 141 Fire Complex","Fire Management Assistance Declaration"
"5010","09/01/2012","South Dakota","Wellnitz Fire","Fire Management Assistance Declaration"
"5009","08/30/2012","Nebraska","Region 23 Fire Complex","Fire Management Assistance Declaration"
