"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"635","11/27/1980","California","Brush, Timber Fires","Major Disaster Declaration"
"634","11/27/1980","Commonwealth of the Northern Mariana Islands","TYPHOON DINAH","Major Disaster Declaration"
"3083","10/19/1980","New Jersey","Water Shortage","Emergency Declaration"
"633","10/02/1980","California","Levee Break and Flooding","Major Disaster Declaration"
"632","09/26/1980","Texas","Tropical Storm Danielle","Major Disaster Declaration"
"3082","09/20/1980","Maine","Red Tide-Toxic Algae","Emergency Declaration"
"631","09/08/1980","Michigan","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"630","08/23/1980","Ohio","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"629","08/19/1980","Pennsylvania","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"628","08/15/1980","West Virginia","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"627","08/11/1980","Texas","HURRICANE ALLEN","Major Disaster Declaration"
"626","07/24/1980","Wisconsin","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"2040","06/15/1980","Colorado","Bear Trap Fire","Fire Management Assistance Declaration"
"3081","06/13/1980","Pennsylvania","Severe Storms and Tornadoes","Emergency Declaration"
"625","06/04/1980","Nebraska","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"624","05/22/1980","Idaho","VOLCANIC ERUPTION, MT. ST. HELENS","Major Disaster Declaration"
"623","05/21/1980","Washington","VOLCANIC ERUPTION, MT. ST. HELENS","Major Disaster Declaration"
"3080","05/21/1980","New York","Chemical Waste, Love Canal","Emergency Declaration"
"622","05/21/1980","Louisiana","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"621","05/16/1980","Michigan","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"620","05/15/1980","Missouri","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"3079","05/06/1980","Florida","Undocumented Aliens from Cuba ""Mariel Boatlift""","Emergency Declaration"
"2039","04/24/1980","Wisconsin","Spooner Fire","Fire Management Assistance Declaration"
"619","04/20/1980","Alabama","SEVERE STORMS, TORNADOES, FLOODING","Major Disaster Declaration"
"618","04/19/1980","Mississippi","STORMS, FLOOD, MUDSLIDES, TORNADOES","Major Disaster Declaration"
"617","04/16/1980","Arkansas","SEVERE STORMS, TORNADOES","Major Disaster Declaration"
"616","04/09/1980","Louisiana","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"615","02/21/1980","California","SEVERE STORMS, MUDSLIDES, FLOODING","Major Disaster Declaration"
"614","02/19/1980","Arizona","SEVERE STORMS, FLOODING","Major Disaster Declaration"
"613","02/06/1980","Hawaii","Severe Storms, High Surf, Flooding","Major Disaster Declaration"
"3078","02/01/1980","California","Torrential Rain, High Tide & Winds","Emergency Declaration"
