"Number","Date","State/Tribal Government","Incident Description","Declaration Type"
"3153","12/06/1999","Massachusetts","Fire","Emergency Declaration"
"1309","11/23/1999","Virgin Islands","Hurricane Lenny","Major Disaster Declaration"
"2287","11/22/1999","Texas","Jordan Creek Fire","Fire Management Assistance Declaration"
"2288","11/20/1999","Kentucky","Eastern District Fire Complex","Fire Management Assistance Declaration"
"1308","11/18/1999","Maine","Hurricane Floyd","Major Disaster Declaration"
"3151","11/17/1999","Puerto Rico","Hurricane Lenny","Emergency Declaration"
"3152","11/17/1999","Virgin Islands","Hurricane Lenny","Emergency Declaration"
"1307","11/10/1999","Vermont","Tropical Storm Floyd","Major Disaster Declaration"
"2286","10/26/1999","Texas","Bluestem Fire","Fire Management Assistance Declaration"
"1306","10/20/1999","Florida","Hurricane Irene","Major Disaster Declaration"
"1305","10/18/1999","New Hampshire","Tropical Storm Floyd","Major Disaster Declaration"
"3150","10/15/1999","Florida","Hurricane Irene","Emergency Declaration"
"1304","10/15/1999","Arizona","Severe Storms, High Winds and Flooding","Major Disaster Declaration"
"2283","09/24/1999","Alabama","Martin School Fire","Fire Management Assistance Declaration"
"1303","09/24/1999","Maryland","Hurricane Floyd","Major Disaster Declaration"
"1302","09/23/1999","Connecticut","Tropical Storm Floyd","Major Disaster Declaration"
"1298","09/22/1999","Pennsylvania","Tropical Depression Dennis and Flash Flooding","Major Disaster Declaration"
"1301","09/22/1999","New Mexico","Severe Storms and Flooding","Major Disaster Declaration"
"1300","09/22/1999","Florida","Hurricane Floyd","Major Disaster Declaration"
"1297","09/21/1999","Delaware","Hurricane Floyd","Major Disaster Declaration"
"1299","09/21/1999","South Carolina","Hurricane Floyd","Major Disaster Declaration"
"2282","09/19/1999","Texas","Williams Ranch Fire","Fire Management Assistance Declaration"
"1296","09/19/1999","New York","Hurricane Floyd","Major Disaster Declaration"
"2277","09/18/1999","Alabama","Russellville Fire","Fire Management Assistance Declaration"
"2276","09/18/1999","Alabama","Jackson Farms Fire","Fire Management Assistance Declaration"
"2279","09/18/1999","Alabama","Fayette Fire","Fire Management Assistance Declaration"
"2280","09/18/1999","Alabama","Macintosh Fire","Fire Management Assistance Declaration"
"2281","09/18/1999","Alabama","Lookout Mountain Fire","Fire Management Assistance Declaration"
"1293","09/18/1999","Virginia","Hurricane Floyd","Major Disaster Declaration"
"2278","09/18/1999","Alabama","Chelsea Community Fire","Fire Management Assistance Declaration"
"3149","09/18/1999","New York","Hurricane Floyd","Emergency Declaration"
"1295","09/18/1999","New Jersey","Hurricane Floyd","Major Disaster Declaration"
"1294","09/18/1999","Pennsylvania","Hurricane Floyd","Major Disaster Declaration"
"3148","09/17/1999","New Jersey","Hurricane Floyd","Emergency Declaration"
"3147","09/16/1999","Virginia","Hurricane Floyd","Emergency Declaration"
"2275","09/16/1999","Texas","Beaver Creek Fire","Fire Management Assistance Declaration"
"1292","09/16/1999","North Carolina","Hurricane Floyd & Irene","Major Disaster Declaration"
"3146","09/15/1999","North Carolina","Hurricane Floyd","Emergency Declaration"
"3145","09/15/1999","South Carolina","Hurricane Floyd","Emergency Declaration"
"3143","09/14/1999","Florida","Hurricane Floyd","Emergency Declaration"
"3144","09/14/1999","Georgia","Hurricane Floyd","Emergency Declaration"
"1291","09/09/1999","North Carolina","Hurricane Dennis","Major Disaster Declaration"
"1290","09/06/1999","Virginia","Tropical Storm Dennis and Tornadoes","Major Disaster Declaration"
"3140","09/01/1999","California","Extreme Fire Hazards","Emergency Declaration"
"3142","09/01/1999","Texas","Extreme Fire Hazards","Emergency Declaration"
"3141","09/01/1999","North Carolina","Hurricane Dennis","Emergency Declaration"
"1289","09/01/1999","Pennsylvania","Severe Storms and Flooding","Major Disaster Declaration"
"2274","08/31/1999","Texas","Dalby Springs Fire","Fire Management Assistance Declaration"
